all,scint,cov,qenergy,energy,cov_par
0.0,0.0,0.0,0.0,0.0,0.0
1725.35,1725.35,0.0,0.3920247545465827,0.001,0.0
2218.8,2218.8,0.0,0.5033151246607304,0.002,0.0
2549.4833333333336,2549.4833333333336,0.0,0.5768528117254997,0.003,0.0
2761.5875,2761.5875,0.0,0.6286780869995711,0.004,0.0
2928.21,2928.21,0.0,0.6676006130874157,0.005,0.0
3072.4666666666662,3072.4666666666662,0.0,0.6979667426397403,0.006,0.0
3178.1,3178.1,0.0,0.7229723002395726,0.006999999999999999,0.0
3277.2937500000007,3277.2937500000007,0.0,0.7435674075182759,0.008,0.0
3356.238888888889,3356.238888888889,0.0,0.7609898597907482,0.009000000000000001,0.0
3417.135,3417.135,0.0,0.7758961023017764,0.01,0.0
3774.23,3774.23,0.0,0.8567766951187513,0.02,0.0
3927.2616666666668,3927.2616666666668,0.0,0.8919734668203941,0.03,0.0
4017.65375,4017.65375,0.0,0.9119257141882552,0.04,0.0
4075.943,4075.943,0.0,0.9249388865679504,0.05,0.0
4157.2935,4157.2935,0.0,0.9437543619535864,0.1,0.0
4203.091333333334,4203.091333333334,0.0,0.9542902334257959,0.15,0.0
4231.86175,4230.14975,0.008549043305334745,0.960467740893364,0.2,0.00038418911925313596
4266.5984,4250.143,0.08217168645245643,0.9646351525902748,0.25,0.0036927486173820405
4294.282,4259.996833333334,0.1712064103761406,0.9673808783690137,0.3,0.007693918215603764
4323.604714285714,4271.155714285715,0.2619093296270457,0.9696544578288284,0.35,0.011770055558240495
4349.4659999999985,4279.527249999999,0.3492461463031428,0.971377834301442,0.4,0.015694922175330174
4371.861555555555,4285.466333333333,0.4314231870045542,0.9727439904875226,0.45,0.0193879114095996
4390.576928846443,4289.516675833792,0.5046544856619373,0.973841871861917,0.5,0.02267888411006386
4410.119727272727,4294.943818181819,0.5751424267228269,0.9748158239776438,0.55,0.025846571888326883
4426.068916666667,4298.4785833333335,0.6371350963836228,0.9756159517765044,0.6,0.028632487026020663
4441.033230769231,4301.435307692307,0.6970961972660071,0.9762992998774236,0.65,0.03132710462411805
4454.623016865129,4304.147921681799,0.7514124445658069,0.9769582486309842,0.7,0.033768045728981066
4467.098733333333,4306.5197333333335,0.8018673042799932,0.9775243342518808,0.75,0.036035458283031147
4478.4226875,4308.7526874999985,0.8472641224393378,0.977987615644932,0.8,0.038075565340934335
4488.138514894881,4309.974613839135,0.8896792672739209,0.9783595313339242,0.85,0.039981677704036316
4498.0686256535055,4312.089937830226,0.9287031869570987,0.9787121053800132,0.9,0.04173539034735975
4506.612842105263,4312.993631578947,0.9668569015970788,0.979096145846342,0.95,0.043449996473477095
4513.87398739874,4313.617661766177,1.0,0.9793817235632102,1.0,0.044939428370118974
4548.244648929785,4320.063252650531,1.1394466344994785,0.9805391737784735,1.25,0.05120608041266244
4572.171500966861,4323.045942521838,1.244033403979088,0.9813015493876364,1.5,0.0559061500481535
4589.5992226239305,4324.910901841981,1.3217476149422989,0.9818717554373662,1.75,0.05939858226507504
4603.717940382115,4326.955261578473,1.382042129902324,0.9822193476674891,2.0,0.06210818330123216
4614.5243368243155,4328.078891779512,1.4303939919999529,0.9825064345150228,2.25,0.06428108834453042
4624.1490616085275,4329.30638106201,1.4723264277179742,0.9827580466093132,2.5,0.06616550803586503
4631.061458513455,4329.5981215700895,1.5053873379086142,0.9829238220378153,2.75,0.06765124644122826
4638.082649179015,4330.742591109331,1.5347333328865778,0.9830869654559784,3.0,0.06897003868049031
4643.06917182582,4331.356014346749,1.556570842366361,0.9831724091589032,3.25,0.06995140387353882
4647.1827935425645,4331.4060105141025,1.5768629631598252,0.9832881225406924,3.5,0.07086332018241451
4650.98067511817,4331.686512668905,1.5944273492519636,0.9833627139856378,3.75,0.07165265365306729
4654.3937277423875,4331.925703465918,1.6102763458675735,0.983429903287362,4.0,0.07236489850121275
4660.6542850450105,4333.052147820946,1.6359140525985565,0.9835524308871508,4.5,0.07351704238642387
4665.522034579815,4333.671934057097,1.6571266823880881,0.9836575377644141,5.0,0.07447032584339236
4668.155737068,4333.260504893065,1.6723328519939544,0.9836901152930398,5.5,0.07515368241317909
4671.186320477271,4333.816200319301,1.6846914527783128,0.9837145214691432,6.0,0.07570907086788266
4673.808072807467,4333.74348879467,1.6981465276495618,0.9837926474150608,6.5,0.07631373424127375
4675.1072331815885,4333.656550328781,1.705068150902319,0.9837693420050161,7.0,0.07662478803364597
4677.734414706677,4334.0463706407145,1.7162406379939958,0.9838444482123218,7.5,0.07712687321701847
4678.928169318355,4334.403230315661,1.7204197566015442,0.9838067980742884,8.0,0.07731468041833263
4681.547604860082,4334.535000652627,1.7328421617211016,0.9838372395485658,9.0,0.07787293620338759
4683.150284980745,4334.438464698332,1.7413273672175578,0.9838556726918448,10.0,0.0782542564880013
4684.554422103718,4334.346109289771,1.7488002524150976,0.9838536561617588,11.0,0.07859008367705426
4686.264273446444,4334.903863502307,1.7545533647153064,0.983874635752498,12.0,0.07884862525517475
4686.491556048086,4334.620893460856,1.7571013623452458,0.9838106078972596,13.0,0.07896313081215263
4687.324665715343,4334.483034723324,1.7619499902311428,0.9838132872209184,14.0,0.07918102537772427
